ciudad,nombre,prioridad,lugar_busqueda,tipo,precio,notas
Ámsterdam,NEMO Science Museum,Solo mapeado,"NEMO Science Museum, Amsterdam",Museo,€17.50 (terraza gratis),Terraza del techo gratis con vistas al puerto
Ámsterdam,Hortus Botanicus,Solo mapeado,"Hortus Botanicus, Amsterdam",Jardín,€14.75,Jardín botánico desde 1638; mariposas tropicales
Ámsterdam,Red Light Secrets,Solo mapeado,"Red Light Secrets, Amsterdam",Museo,~€15,Museo de la prostitución en una antigua vitrina
Ámsterdam,Hash Marihuana & Hemp Museum,Solo mapeado,"Hash Marihuana Hemp Museum, Amsterdam",Museo,€9,Historia del cannabis; combo €22 con Red Light Secrets
Ámsterdam,Amsterdam Museum,Quizás,Amsterdam Museum,Museo,~€17,Historia de la ciudad; bueno para primer día
Ámsterdam,Moco Museum,Solo mapeado,"Moco Museum, Amsterdam",Museo,~€22,Banksy
Ámsterdam,Magere Brug,Solo mapeado,"Magere Brug, Amsterdam",Sitio,Gratis,Puente levadizo de madera; iluminado de noche
Ámsterdam,Jordaan,Quiero ir,"Jordaan, Amsterdam",Barrio,Gratis,Bohemio-chic; 9 Straatjes; el mejor ambiente de bici
Ámsterdam,De Pijp,Quiero ir,"De Pijp, Amsterdam",Barrio,Gratis,El Brooklyn; Albert Cuypmarkt; barrio favorito de viajeros
Ámsterdam,De Wallen (Red Light District),Quiero ir,"De Wallen, Amsterdam",Barrio,Gratis,Centro histórico; Oude Kerk; walking tour el primer día
Ámsterdam,NDSM Wharf,Solo mapeado,"NDSM Wharf, Amsterdam",Barrio,Gratis,Astilleros con street art; ferry gratis desde Centraal
Ámsterdam,Oud-West,Solo mapeado,"Oud-West, Amsterdam",Barrio,Gratis,Foodhallen
Ámsterdam,Oost,Quizás,Amsterdam-Oost,Barrio,Gratis,Multicultural sin turistas; Dappermarkt
Ámsterdam,Boerejongens,Quizás,"Boerejongens Coffeeshop, Amsterdam",Coffee shop,,De los mejores de la ciudad; calidad y variedad
Ámsterdam,Grey Area,Solo mapeado,"Grey Area Coffeeshop, Amsterdam",Coffee shop,,Diminuto; premium; fila habitual; Oude Gracht 2
Ámsterdam,Dampkring,Solo mapeado,"Dampkring, Handboogstraat, Amsterdam",Coffee shop,,Salió en Ocean's Twelve; local bonito
Ámsterdam,Paradox,Solo mapeado,"Paradox Coffeeshop, Amsterdam",Coffee shop,,El más tranquilo; en Jordaan; clientela local
Ámsterdam,Barney's,Solo mapeado,"Barney's Coffeeshop, Reguliersgracht, Amsterdam",Coffee shop,,Céntrico
Ámsterdam,Magic Mushroom Gallery,Quizás,"Magic Mushroom Gallery, Spuistraat, Amsterdam",Smart shop,,La más recomendada; asesora bien a principiantes
Ámsterdam,Tatanka,Solo mapeado,"Tatanka Smartshop, Amsterdam",Smart shop,,Dos locales; staff orientado a la dosis correcta
Ámsterdam,Café 't Smalle,Quizás,"Café 't Smalle, Amsterdam",Bar,,El brown café más fotogénico de Jordaan; desde 1786
Ámsterdam,Proeflokaal Wynand Fockink,Solo mapeado,"Wynand Fockink, Amsterdam",Bar,€4-6,Probador de jenever desde 1679
Ámsterdam,Brouwerij 't IJ,Solo mapeado,"Brouwerij 't IJ, Amsterdam",Bar,€4-6,Cervecería al pie del molino De Gooyer; terraza
Ámsterdam,Café de Dokter,Solo mapeado,"Café de Dokter, Amsterdam",Bar,,El bar más pequeño y antiguo (1798); sin turistas
Ámsterdam,Gollem,Solo mapeado,"Gollem, Raamsteeg, Amsterdam",Bar,,El mejor bar de cervezas belgas; 200+ opciones
Ámsterdam,A'DAM Lookout,Solo mapeado,"A'DAM Lookout, Amsterdam",Mirador,€16.50,Vistas 360; columpio Over The Edge a 100m
Ámsterdam,Heineken Experience,Quizás,"Heineken Experience, Amsterdam",Experiencia,~€18,Tour en la antigua fábrica; incluye 2 cervezas
Ámsterdam,Rembrandtplein,Solo mapeado,"Rembrandtplein, Amsterdam",Plaza,Gratis,Estatuas de la Ronda de Noche en 3D; bares
Ámsterdam,Vondelpark,Solo mapeado,"Vondelpark, Amsterdam",Parque,Gratis,El parque más famoso; artistas callejeros
Ámsterdam,OBA Biblioteca Central,Solo mapeado,"OBA Oosterdok, Amsterdam",Mirador,Gratis,Terraza piso 7 con vistas; casi nadie lo sabe
Ámsterdam,Begijnhof,Solo mapeado,"Begijnhof, Amsterdam",Sitio,Gratis,Patio medieval s.XIV en silencio; joya escondida
Ámsterdam,Nieuwmarkt,Quizás,"Nieuwmarkt, Amsterdam",Plaza,Gratis,Plaza medieval con la Waag; cafés y terrazas
Ámsterdam,Sarphatipark,Quizás,"Sarphatipark, Amsterdam",Parque,Gratis,Parque íntimo y local en De Pijp; picnic
Ámsterdam,Albert Cuypmarkt,Solo mapeado,"Albert Cuypmarkt, Amsterdam",Mercado,,EL mercado; stroopwafels frescos; lun-sáb
Ámsterdam,Noordermarkt,Solo mapeado,"Noordermarkt, Amsterdam",Mercado,,Orgánico y quesos; solo sábados; muy curado
Ámsterdam,Bloemenmarkt,Solo mapeado,"Bloemenmarkt, Amsterdam",Mercado,,Mercado de flores flotante; solo para la foto
Colmar,Petite Venise,Quiero ir,"La Petite Venise, Colmar, France",Casco histórico,Gratis,Barrio de curtidores s.XV; canales del Lauch; ir antes de las 9am
Colmar,Quai de la Poissonnerie,Quiero ir,"Quai de la Poissonnerie, Colmar, France",Casco histórico,Gratis,Muelle de pescadores; ángulo de foto más icónico
Colmar,Maison Pfister,Quizás,"Maison Pfister, Colmar, France",Casco histórico,Gratis (exterior),Casa burguesa renacentista 1537; galería pintada
Colmar,Maison des Têtes,Solo mapeado,"Maison des Têtes, Colmar, France",Casco histórico,Gratis (exterior),Casa de las Cabezas 1609; 106 cabezas esculpidas
Colmar,Collégiale Saint-Martin,Quizás,"Collégiale Saint-Martin, Colmar, France",Iglesia,Gratis,Iglesia gótica s.XIV; punto de encuentro free tours
Colmar,Ancien Corps de Garde,Quizás,"Ancien Corps de Garde, Colmar, France",Casco histórico,Gratis,Cuerpo de guardia s.XVI frente a la Collégiale
Colmar,Quartier des Tanneurs,Quiero ir,"Quartier des Tanneurs, Colmar, France",Casco histórico,Gratis,Casas altas de curtidores s.XVI
Colmar,Barrio des Juifs,Quiero ir,"Rue des Juifs, Colmar, France",Casco histórico,Gratis,Judería medieval s.XIII
Colmar,Fontaine Roesselmann,Quiero ir,"Place de l'Ancienne Douane, Colmar, France",Casco histórico,Gratis,Fuente del caballero medieval legendario
Colmar,Rue des Têtes,Quiero ir,"Rue des Têtes, Colmar, France",Casco histórico,Gratis,Calles sin señalizar más fotogénicas
Colmar,Musée Unterlinden,Quizás,"Musée Unterlinden, Colmar, France",Museo,€14 (€17 audioguía),Retablo de Isenheim de Grünewald; MARTES CERRADO
Colmar,Musée Bartholdi,Solo mapeado,"Musée Bartholdi, Colmar, France",Museo,~€7,Casa natal del creador de la Estatua de la Libertad
Colmar,Musée du Jouet,Solo mapeado,"Musée du Jouet, Colmar, France",Museo,~€5,Juguetes europeos s.XIX-XX
Colmar,Musée d'Histoire Naturelle et d'Ethnographie,Quizás,"Musée d'Histoire Naturelle et d'Ethnographie, Colmar, France",Museo,~€3 (jardín gratis),Jardín botánico oculto secreto local
Colmar,Marché Couvert (Les Halles),Quiero ir,"Marché Couvert Colmar, France",Mercado,~€8-12 almuerzo,Mercado cubierto; charcutería y munster local
Colmar,Eguisheim,Quiero ir,"Eguisheim, France",Pueblo Route des Vins,Gratis,Pueblo circular medieval; 6km de Colmar (bici posible)
Colmar,Kaysersberg,Quiero ir,"Kaysersberg, France",Pueblo Route des Vins,Gratis,Puente fortificado; casa natal de Schweitzer
Colmar,Riquewihr,Solo mapeado,"Riquewihr, France",Pueblo Route des Vins,Gratis,El más fotografiado y turístico de Alsacia
Colmar,Turckheim,Quizás,"Turckheim, France",Pueblo Route des Vins,Gratis,Veilleur de nuit; más auténtico que Riquewihr
Colmar,Ribeauvillé,Solo mapeado,"Ribeauvillé, France",Pueblo Route des Vins,Gratis,Pueblo más al norte del Kut'zig
Colmar,Château du Haut-Koenigsbourg,Solo mapeado,"Château du Haut-Koenigsbourg, France",Castillo,€12 (+€4 audiotour),Castillo imperial s.XII; desvío específico
Estrasburgo,Catedral Notre-Dame,Quiero ir,"Cathédrale Notre-Dame de Strasbourg, France",Catedral,Gratis interior (€8 plataforma),Fachada gótica s.XIII; plataforma 330 escalones
Estrasburgo,Reloj Astronómico,Solo mapeado,"Cathédrale Notre-Dame de Strasbourg, France",Catedral,€3,Show 12:30h (no domingos); llegar antes de 11:30h
Estrasburgo,Grande Île,Quiero ir,"Grande Île, Strasbourg, France",Casco histórico,Gratis,Centro histórico UNESCO; caminar sin mapa
Estrasburgo,Petite France,Quiero ir,"Petite France, Strasbourg, France",Casco histórico,Gratis,Barrio de curtidores s.XVI; ir antes de 9am o atardecer
Estrasburgo,Barrage Vauban + Ponts Couverts,Quiero ir,"Barrage Vauban, Strasbourg, France",Casco histórico,Gratis,Terraza con la vista más icónica de la ciudad
Estrasburgo,Place Kléber,Quiero ir,"Place Kléber, Strasbourg, France",Plaza,Gratis,Plaza central; corazón social
Estrasburgo,Place Gutenberg,Solo mapeado,"Place Gutenberg, Strasbourg, France",Plaza,Gratis,Estatua de Gutenberg; fachadas s.XVI
Estrasburgo,Palais Rohan (3 museos),Quizás,"Palais Rohan, Strasbourg, France",Museo,€7.50 c/u,Artes Decorativas + Bellas Artes + Arqueológico
Estrasburgo,MAMCS - Arte Moderno,Solo mapeado,"Musée d'Art Moderne et Contemporain, Strasbourg, France",Museo,€7.50,Edificio de 1998 junto al río; café con terraza
Estrasburgo,Château Vodou,Quizás,"Château Vodou, Strasbourg, France",Museo,,Mayor colección de vodou africano occidental
Estrasburgo,Musée de l'Œuvre Notre-Dame,Solo mapeado,"Musée de l'Œuvre Notre-Dame, Strasbourg, France",Museo,€7.50,Esculturas originales de la catedral
Estrasburgo,Fort Poligone,Solo mapeado,"Fort Poligone, Strasbourg, France",Fuerte,Gratis/donación,Tours solo jueves y sábados; bus 73
Estrasburgo,Barrio Krutenau,Quiero ir,"Krutenau, Strasbourg, France",Barrio,Gratis,Barrio estudiantil y alternativo; tapas y noche local
Estrasburgo,Neustadt,Quiero ir,"Place de la République, Strasbourg, France",Barrio,Gratis,Barrio imperial alemán 1871; UNESCO
Estrasburgo,Barrio Europeo,Quizás,"Parlement Européen, Strasbourg, France",Barrio,Gratis (exterior),Instituciones UE junto al Parc de l'Orangerie
Estrasburgo,Quai des Bateliers,Quizás,"Quai des Bateliers, Strasbourg, France",Barrio,Gratis,Orilla de bares y vida nocturna
Estrasburgo,Parc de l'Orangerie,Quizás,"Parc de l'Orangerie, Strasbourg, France",Parque,Gratis,Parque más grande; lago
Estrasburgo,Jardin des Deux Rives,Solo mapeado,"Jardin des Deux Rives, Strasbourg, France",Parque,Gratis,Parque binacional; cruzar a pie a Kehl (Alemania)
Estrasburgo,Batorama (barco canales),Quizás,"Batorama, Strasbourg, France",Transporte,€12.50-16.20,Recorrido por el Ill; embarcadero junto al Palais Rohan
Estrasburgo,Parlamento Europeo,Quizás,"Parlement Européen, Strasbourg, France",Institución,Gratis,Visita guiada ~60min; reservar online; llevar DNI/pasaporte
Estrasburgo,Consejo de Europa,Quizás,"Conseil de l'Europe, Strasbourg, France",Institución,Gratis (exterior),Organismo de derechos humanos; arquitectura años 50
Estrasburgo,Palais des Droits de l'Homme,Quizás,"Cour Européenne des Droits de l'Homme, Strasbourg, France",Institución,Gratis (exterior),Tribunal Europeo DDHH; arquitectura de Richard Rogers
