file,ciudad,nombre,lugar_busqueda,tipo,tolerancia_m,dist_m,resuelve_a,veredicto
europa_katia.csv,Berna,Einsteinhaus,"Einsteinhaus Bern, Bern, Switzerland",Museo,150,0,"Einsteinhaus, 49, Kramgasse, Altstadt, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, V",PASS
europa_katia.csv,Berna,Zytglogge,"Zytglogge, Bern, Switzerland",Sitio histórico,200,0,"Zytglogge, 3, Bim Zytglogge, Altstadt, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, V",PASS
europa_katia.csv,Berna,Catedral de Berna,"Berner Münster, Bern, Switzerland",Catedral,150,0,"Münster, 1, Münsterplatz, Altstadt, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verw",PASS
europa_katia.csv,Berna,Münsterplattform,"Münsterplattform, Bern, Switzerland",Mirador,150,0,"Münsterplattform, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern",PASS
europa_katia.csv,Berna,Bundeshaus,"Bundeshaus, Bern, Switzerland",Sitio histórico,200,140,"Eidgenössisches Departement für auswärtige Angelegenheiten, 3, Bundesgasse, Rotes Quartier, Stadtteil I, Bern,",PASS
europa_katia.csv,Berna,Bundesplatz,"Bundesplatz, Bern, Switzerland",Plaza,250,0,"Bundesplatz, Gelbes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mitt",PASS
europa_katia.csv,Berna,Zähringerbrunnen,"Zähringerbrunnen, Bern, Switzerland",Monumento,200,0,"Zähringerbrunnen, Kramgasse, Altstadt, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, V",PASS
europa_katia.csv,Berna,Kindlifresserbrunnen,"Kindlifresserbrunnen, Bern, Switzerland",Monumento,200,0,"Kindlifresserbrunnen, Kornhausplatz, Altstadt, Grünes Quartier, Stadtteil I, Bern, Verwaltungskreis Bern-Mitte",PASS
europa_katia.csv,Berna,Museo de Historia de Berna / Museo Einstein,"Bernisches Historisches Museum, Bern, Switzerland",Museo,150,0,"Bernisches Historisches Museum, 5, Helvetiaplatz, Dalmazi, Kirchenfeld, Stadtteil IV, Bern, Verwaltungskreis B",PASS
europa_katia.csv,Berna,Nydeggbrücke,"Nydeggbrücke, Bern, Switzerland",Puente,150,0,"Nydeggbrücke, Nydeggasse, Matte, Stadtteil I, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-M",PASS
europa_katia.csv,Berna,BärenPark,"BärenPark, Bern, Switzerland",Parque,600,0,"Bärenpark, Grosser Muristalden, Gryphenhübeli, Stadtteil IV, Bern, Verwaltungskreis Bern-Mittelland, Verwaltun",PASS
europa_katia.csv,Berna,Rosengarten,"Rosengarten, Bern, Switzerland",Mirador,150,0,"Rosengarten, Schosshalde, Stadtteil IV, Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittell",PASS
europa_katia.csv,Kandersteg,Kandersteg,"Kandersteg, Switzerland",Pueblo,1500,0,"Kandersteg, Verwaltungskreis Frutigen-Niedersimmental, Verwaltungsregion Oberland, Bern/Berne, 3718, Schweiz/S",PASS
europa_katia.csv,Kandersteg,Oeschinensee,"Oeschinensee, Kandersteg, Switzerland",Lago,3000,0,"Oeschinensee, Kandersteg, Verwaltungskreis Frutigen-Niedersimmental, Verwaltungsregion Oberland, Bern/Berne, 3",PASS
europa_katia.csv,Kandersteg,Blausee,"Blausee, Kandergrund, Switzerland",Lago,3000,0,"Blausee, Blausee-Mitholz, Kandergrund, Verwaltungskreis Frutigen-Niedersimmental, Verwaltungsregion Oberland, ",PASS
europa_katia.csv,York,Stonegate,"Stonegate, York, UK",Calle,400,0,"Stonegate, Bootham, Bishophill, York, York and North Yorkshire, England, YO1 8ZW, United Kingdom",PASS
europa_katia.csv,York,Bootham Bar,"Bootham Bar, York, UK",Sitio histórico,200,0,"Bootham Bar, High Petergate, Bootham, Bishophill, York, York and North Yorkshire, England, YO30 7BN, United Ki",PASS
europa_katia.csv,Edimburgo,St Giles' Cathedral,"St Giles' Cathedral, City of Edinburgh, UK",Catedral,150,0,"St Giles' Cathedral, High Street, Abbeyhill, Old Town, City of Edinburgh, Alba / Scotland, EH1 1RE, United Kin",PASS
europa_katia.csv,Edimburgo,Cowgate,"Cowgate, City of Edinburgh, UK",Barrio,800,268,"Cowgate, Abbeyhill, Old Town, City of Edinburgh, Alba / Scotland, EH8 9UE, United Kingdom",PASS
europa_katia.csv,Edimburgo,Royal Yacht Britannia,"Royal Yacht Britannia, City of Edinburgh, UK",Museo,150,0,"HMY Britannia, 100, Ocean Drive, Fort, North Leith, Leith, City of Edinburgh, Alba / Scotland, EH6 6JJ, United",PASS
europa_katia.csv,Edimburgo,Oink,"Oink, City of Edinburgh, UK",Tienda,120,0,"Oink, 38, Hanover Street, New Town, New Town/Broughton, City of Edinburgh, Alba / Scotland, EH2 2DR, United Ki",PASS
europa_katia.csv,Londres,Leicester Square,"Leicester Square, City of Westminster, UK",Plaza,250,46,"Leicester Square, East Marylebone, Covent Garden, City of Westminster, Greater London, England, WC2H 7LU, Unit",PASS
europa_katia.csv,Londres,Millennium Bridge,"Millennium Bridge, City of London, UK",Puente,150,0,"Millennium Bridge, St Paul's, City of London, Greater London, England, EC4V 3AL, United Kingdom",PASS
europa_katia.csv,Londres,Brockwell Park,"Brockwell Park, Greater London, UK",Parque,600,0,"Brockwell Park, Herne Hill, London Borough of Lambeth, Greater London, England, SE24 9BJ, United Kingdom",PASS
europa_katia.csv,Londres,Great Scotland Yard,"Great Scotland Yard, City of Westminster, UK",Harry Potter,300,43,"Great Scotland Yard, Westminster, Covent Garden, City of Westminster, Greater London, England, SW1A 2HP, Unite",PASS
europa_katia.csv,Londres,Prime Meridian,"Prime Meridian of the World, Greater London, UK",Sitio histórico,200,0,"Greenwich Meridian, Meridian Courtyard, Greenwich Town Centre, East Greenwich, Royal Borough of Greenwich, Gre",PASS
europa_katia.csv,París,Grande Galerie de l'Évolution,"Grande Galerie de l'Évolution, Paris, France",Museo,150,0,"Grande Galerie de l'Évolution, Cour Censier, Quartier du Jardin des Plantes, Paris 5e Arrondissement, Paris, Î",PASS
europa_katia.csv,París,Musée des Arts et Métiers,"Musée des Arts et Métiers, Paris, France",Museo,150,0,"Musée des Arts et Métiers, 60, Rue Réaumur, Quartier des Arts-et-Métiers, Paris 3e Arrondissement, Paris, Île-",PASS
europa_katia.csv,París,Musée Rodin,"Musée Rodin, Paris, France",Museo,150,0,"Musée Rodin, 77, Rue de Varenne, Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-France, France",PASS
europa_katia.csv,París,Place des Vosges,"Place des Vosges, Paris, France",Plaza,250,128,"Place des Vosges, Quartier de l'Arsenal, Paris 4e Arrondissement, Paris, Île-de-France, France métropolitaine,",PASS
europa_katia.csv,París,Jardin des Tuileries,"Jardin des Tuileries, Paris, France",Jardín,400,0,"Jardin des Tuileries, 113, Paris, Île-de-France, France métropolitaine, 75001, France",PASS
europa_katia.csv,París,Jardin des Plantes,"Jardin des Plantes, Paris, France",Jardín,400,0,"Jardin des Plantes, Paris, Île-de-France, France métropolitaine, France",PASS
europa_katia.csv,París,Parc des Buttes-Chaumont,"Parc des Buttes-Chaumont, Paris, France",Parque,600,0,"Parc des Buttes-Chaumont, Paris, Île-de-France, France métropolitaine, France",PASS
europa_katia.csv,París,Église Saint-Eustache,"Église Saint-Eustache, Paris, France",Iglesia,150,0,"Église Saint-Eustache, Rue de Turbigo, Quartier Les Halles, Paris 1er Arrondissement, Paris, Île-de-France, Fr",PASS
europa_katia.csv,París,Église Saint-Sulpice,"Église Saint-Sulpice, Paris, France",Iglesia,150,0,"Église Saint-Sulpice, 2, Rue Palatine, Quartier de l'Odéon, Paris 6e Arrondissement, Paris, Île-de-France, Fra",PASS
europa_katia.csv,París,Palacio de Versalles,"Château de Versailles, Versailles, France",Palacio,200,0,"Château de Versailles, La Cour de Marbre, Notre-Dame, Versailles, Yvelines, Île-de-France, France métropolitai",PASS
europa_katia.csv,París,Shakespeare and Company,"Shakespeare and Company, Paris, France",Tienda,120,0,"Shakespeare and Company, 37, Rue de la Bûcherie, Quartier de la Sorbonne, Paris 5e Arrondissement, Paris, Île-",PASS
europa_katia.csv,París,Villa Léandre,"Villa Léandre, Paris, France",Calle,400,0,"Villa Léandre, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de-France, France métropol",PASS
europa_katia.csv,París,Les Halles,"Les Halles, Paris, France",Barrio,800,0,"Les Halles, Allée Saint-John Perse, Quartier Les Halles, Paris 1er Arrondissement, Paris, Île-de-France, Franc",PASS
europa_katia.csv,París,Rue Montorgueil,"Rue Montorgueil, Paris, France",Calle,400,0,"Rue Montorgueil, Quartier Les Halles, Paris 1er Arrondissement, Paris, Île-de-France, France métropolitaine, 7",PASS
europa_katia.csv,París,Batignolles,"Batignolles, Paris, France",Barrio,800,0,"Quartier des Batignolles, Paris 17e Arrondissement, Paris, Île-de-France, France métropolitaine, 75017, France",PASS
europa_katia.csv,París,La Défense,"La Défense, Courbevoie, France",Barrio,800,0,"La Défense, Quartier Gambetta, Courbevoie, Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 924",PASS
europa_katia.csv,París,Moulin Rouge,"Moulin Rouge, Paris, France",Sitio histórico,200,0,"Moulin Rouge, 82, Boulevard de Clichy, Quartier des Grandes-Carrières, Paris 18e Arrondissement, Paris, Île-de",PASS
europa_katia.csv,París,Canal de l'Ourcq,"Canal de l'Ourcq, Paris, France",Paseo,500,242,"Canal de l'Ourcq, Quai de l'Oise, Quartier du Pont-de-Flandre, Paris 19e Arrondissement, Paris, Île-de-France,",PASS
europa_katia.csv,París,Pont Alexandre III,"Pont Alexandre III, Paris, France",Puente,150,0,"Pont Alexandre III, Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-France, France métropolitai",PASS
europa_katia.csv,París,Passerelle Debilly,"Passerelle Debilly, Paris, France",Puente,150,0,"Passerelle Debilly, Quartier du Gros-Caillou, Paris 7e Arrondissement, Paris, Île-de-France, France métropolit",PASS
europa_katia.csv,París,Passage des Panoramas,"Passage des Panoramas, Paris, France",Sitio histórico,200,30,"Passage des Panoramas, Vivienne, Paris 2e Arrondissement, Paris, Île-de-France, France métropolitaine, 75002, ",PASS
europa_katia.csv,París,Marché des Enfants Rouges,"Marché des Enfants Rouges, Paris, France",Mercado,300,0,"Marché couvert des Enfants Rouges, Rue Charlot, Quartier des Enfants-Rouges, Paris 3e Arrondissement, Paris, Î",PASS
europa_katia.csv,París,Marché d'Aligre,"Marché d'Aligre, Paris, France",Mercado,300,0,"Marché d'Aligre, Rue Charles Baudelaire, Quartier des Quinze-Vingts, Paris 12e Arrondissement, Paris, Île-de-F",PASS
europa_katia.csv,París,Marché Couvert Saint-Quentin,"Marché Saint-Quentin, Paris, France",Mercado,300,0,"Marché Saint-Quentin, Rue des Petits Hôtels, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, ",PASS
europa_katia.csv,París,Place du Trocadéro,"Place du Trocadéro et du 11 Novembre, Paris, France",Mirador,150,0,"Place du Trocadéro et du 11 Novembre, Quartier de la Muette, Paris 16e Arrondissement, Paris, Île-de-France, F",PASS
europa_katia.csv,París,Institut du Monde Arabe,"Institut du monde arabe, Paris, France",Mirador,150,0,"Institut du Monde arabe, Quai Saint-Bernard, Quartier Saint-Victor, Paris 5e Arrondissement, Paris, Île-de-Fra",PASS
europa_katia.csv,París,Galeries Lafayette Haussmann,"Galeries Lafayette Haussmann, Paris, France",Mirador,150,0,"Galeries Lafayette, 40, Boulevard Haussmann, Quartier de la Chaussée-d'Antin, Paris 9e Arrondissement, Paris, ",PASS
europa_katia.csv,París,Philharmonie de Paris,"Philharmonie de Paris, Paris, France",Mirador,150,0,"Philharmonie de Paris, Boulevard Sérurier, Quartier du Pont-de-Flandre, Paris 19e Arrondissement, Paris, Île-d",PASS
europa_katia.csv,París,Hôtel de Ville,"Hôtel de Ville de Paris, Paris, France",Sitio histórico,200,0,"Hôtel de Ville, Place de l'Hôtel de Ville, Quartier Saint-Merri, Paris 4e Arrondissement, Paris, Île-de-France",PASS
europa_katia.csv,París,Tour Saint-Jacques,"Tour Saint-Jacques, Paris, France",Monumento,200,0,"Tour Saint-Jacques, Allée Waslaw Nijinsky, Quartier Saint-Merri, Paris 4e Arrondissement, Paris, Île-de-France",PASS
europa_katia.csv,París,Galerie Vivienne,"Galerie Vivienne, Paris, France",Sitio histórico,200,0,"Galerie Vivienne, Rue des Petits Champs, Vivienne, Paris 2e Arrondissement, Paris, Île-de-France, France métro",PASS
europa_katia.csv,París,BnF Richelieu,"Bibliothèque nationale de France - Richelieu, Paris, France",Sitio histórico,200,0,"Bibliothèque nationale de France, Richelieu, 58, Rue de Richelieu, Vivienne, Paris 2e Arrondissement, Paris, Î",PASS
europa_katia.csv,París,Bibliothèque Mazarine,"Bibliothèque Mazarine, Paris, France",Sitio histórico,200,0,"Bibliothèque Mazarine, 23, Quai de Conti, Quartier de la Monnaie, Paris 6e Arrondissement, Paris, Île-de-Franc",PASS
europa_katia.csv,París,Palais Garnier,"Palais Garnier, Paris, France",Teatro,150,78,"L'Opéra Restaurant, Place Jacques Rouché, Quartier de la Chaussée-d'Antin, Paris 9e Arrondissement, Paris, Île",PASS
europa_katia.csv,París,Place de la Concorde,"Place de la Concorde, Paris, France",Plaza,250,0,"Place de la Concorde, Quartier des Champs-Élysées, Paris 8e Arrondissement, Paris, Île-de-France, France métro",PASS
europa_katia.csv,París,Place Vendôme,"Place Vendôme, Paris, France",Plaza,250,0,"Place Vendôme, Quartier Vendôme, Paris 1er Arrondissement, Paris, Île-de-France, France métropolitaine, 75001,",PASS
europa_katia.csv,París,Grand Palais,"Grand Palais, Paris, France",Museo,150,0,"Grand Palais, Avenue de Selves, Quartier des Champs-Élysées, Paris 8e Arrondissement, Paris, Île-de-France, Fr",PASS
europa_katia.csv,París,Les Invalides,"Hôtel des Invalides, Paris, France",Sitio histórico,200,0,"Hôtel des Invalides, 129, Rue de Grenelle, Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-Fran",PASS
europa_katia.csv,Ámsterdam,Oosterpark,"Oosterpark, Amsterdam, Netherlands",Parque,600,0,"Oosterpark, Oost, Amsterdam, Noord-Holland, Nederland",PASS
europa_katia.csv,Ámsterdam,De Negen Straatjes,"De Negen Straatjes, Amsterdam, Netherlands",Barrio,800,0,"De 9 Straatjes, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland",PASS
europa_katia.csv,Ámsterdam,Singel,"Singel, Amsterdam, Netherlands",Paseo,500,0,"Singel, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 CK, Nederland",PASS
europa_katia.csv,Ámsterdam,Keizersgracht,"Keizersgracht, Amsterdam, Netherlands",Paseo,500,0,"Keizersgracht, Amsterdam, Noord-Holland, Nederland",PASS
europa_katia.csv,Ámsterdam,Damrak,"Damrak, Amsterdam, Netherlands",Calle,400,0,"Damrak, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 JP, Nederland",PASS
europa_katia.csv,Ámsterdam,Beurspassage,"Beurspassage, Amsterdam, Netherlands",Sitio histórico,200,0,"Beurspassage, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 LW, Nederland",PASS
europa_katia.csv,Ámsterdam,Waterlooplein Market,"Waterloopleinmarkt, Amsterdam, Netherlands",Mercado,300,0,"Waterloopleinmarkt, Waterlooplein, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 NZ, ",PASS
europa_katia.csv,Ámsterdam,Foodhallen,"Foodhallen, Amsterdam, Netherlands",Mercado,300,0,"Foodhallen, Hannie Dankbaarpassage, Kinkerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1053 EH, Nederland",PASS
europa_katia.csv,Ámsterdam,Zevenlandenhuizen,"Zevenlandenhuizen, Amsterdam, Netherlands",Sitio histórico,200,0,"Zevenlandenhuizen, Roemer Visscherstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 EX, Nederl",PASS
europa_katia.csv,Ámsterdam,Dam Square,"Dam, Amsterdam, Netherlands",Plaza,250,0,"Dam, Centrum, Amsterdam, Noord-Holland, Nederland",PASS
europa_katia.csv,Ámsterdam,Oude Kerk,"Oude Kerk, Amsterdam, Netherlands",Iglesia,150,0,"Oude Kerk, 23, Oudekerksplein, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 GX, N",PASS
europa_katia.csv,Ámsterdam,Nieuwe Kerk,"Nieuwe Kerk, Amsterdam, Netherlands",Iglesia,150,0,"Nieuwe Kerk, 12, Dam, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 NP, Nederland",PASS
europa_katia.csv,Ámsterdam,Palacio Real de Ámsterdam,"Koninklijk Paleis Amsterdam, Amsterdam, Netherlands",Palacio,200,0,"Koninklijk Paleis, 147, Nieuwezijds Voorburgwal, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 RJ, Nederl",PASS
europa_katia.csv,Ámsterdam,Leidseplein,"Leidseplein, Amsterdam, Netherlands",Plaza,250,0,"Leidseplein, Centrum, Amsterdam, Noord-Holland, Nederland",PASS
europa_katia.csv,Ámsterdam,Museumplein,"Museumplein, Amsterdam, Netherlands",Plaza,250,206,"Museumplein, Oud-Zuid, Zuid, Amsterdam, Noord-Holland, Nederland, 1071 DJ, Nederland",PASS
europa_katia.csv,Ámsterdam,Centrum (Old Centre),"Amsterdam-Centrum, Amsterdam, Netherlands",Barrio,800,246,"Amsterdam-Centrum, Ringweg-Oost, Oost, Amsterdam, Noord-Holland, Nederland, 1115 CK, Nederland",PASS
europa_katia.csv,Ámsterdam,Amsterdam-Noord,"Amsterdam-Noord, Amsterdam, Netherlands",Barrio,800,0,"Amsterdam-Noord, Ringweg-Noord, Noord, Amsterdam, Noord-Holland, Nederland, 1025 MS, Nederland",PASS
europa_katia.csv,Ámsterdam,Plantage,"Plantage, Amsterdam, Netherlands",Barrio,800,0,"Plantage, Centrum, Amsterdam, Noord-Holland, Nederland",PASS
europa_katia.csv,Ámsterdam,Houseboat Museum,"Houseboat Museum, Amsterdam, Netherlands",Museo,150,0,"Houseboat Museum, 296K, Prinsengracht, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1016 HW, Nederla",PASS
europa_katia.csv,Grindelwald,Río Schwarze Lütschine,"Schwarze Lütschine, Grindelwald, Switzerland",Naturaleza,2000,0,"Schwarze Lütschine, Grindelwald, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Bern/Berne",PASS
europa_katia.csv,Grindelwald,Alpiglen,"Alpiglen, Grindelwald, Switzerland",Trekking,3000,0,"Alpiglen, Eigertrail, Grindelwald, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Bern/Ber",PASS
europa_katia.csv,Grindelwald,Wilderswil,"Wilderswil, Switzerland",Pueblo,1500,0,"Wilderswil, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Bern/Berne, 3812, Schweiz/Suiss",PASS
europa_katia.csv,Lauterbrunnen,Río Weisse Lütschine,"Weisse Lütschine, Lauterbrunnen, Switzerland",Naturaleza,2000,0,"Weisse Lütschine, Lauterbrunnen, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Bern/Berne",PASS
europa_katia.csv,Lauterbrunnen,Grütschalp,"Grütschalp, Isenfluh, Switzerland",Teleférico,300,0,"Grütschalp, Grütsch-Trail, Greifenbach, Isenfluh, Lauterbrunnen, Verwaltungskreis Interlaken-Oberhasli, Verwal",PASS
europa_katia.csv,Lauterbrunnen,Obersteinberg,"Obersteinberg, Lauterbrunnen, Switzerland",Trekking,3000,0,"Obersteinberg, Lauterbrunnen, Verwaltungskreis Interlaken-Oberhasli, Verwaltungsregion Oberland, Bern/Berne, S",PASS
europa_katia.csv,Lucerna,Wasserturm,"Wasserturm, Luzern, Switzerland",Sitio histórico,200,0,"Wasserturm, 1, Kapellbrücke, Bramberg, Altstadt, Luzern, 6006, Schweiz/Suisse/Svizzera/Svizra",PASS
europa_katia.csv,Lucerna,Weinmarkt,"Weinmarkt, Luzern, Switzerland",Plaza,250,0,"Weinmarkt, Altstadt, Luzern, Schweiz/Suisse/Svizzera/Svizra",PASS
europa_katia.csv,Lucerna,Hirschenplatz,"Hirschenplatz, Luzern, Switzerland",Plaza,250,0,"Hirschenplatz, Altstadt, Luzern, Schweiz/Suisse/Svizzera/Svizra",PASS
europa_katia.csv,Lucerna,Kornmarkt,"Kornmarkt, Luzern, Switzerland",Plaza,250,0,"Kornmarkt, Altstadt, Luzern, Schweiz/Suisse/Svizzera/Svizra",PASS
europa_katia.csv,Lucerna,Rathausquai,"Rathausquai, Luzern, Switzerland",Paseo,500,0,"Rathausquai, Altstadt, Luzern, 6002, Schweiz/Suisse/Svizzera/Svizra",PASS
europa_katia.csv,Lucerna,Ayuntamiento de Lucerna,"Rathaus Luzern, Luzern, Switzerland",Sitio histórico,200,0,"Rathaus, Rathausquai, Altstadt, Luzern, 6002, Schweiz/Suisse/Svizzera/Svizra",PASS
europa_katia.csv,Innsbruck,Antiguo Ayuntamiento,"Altes Rathaus Innsbruck, Innsbruck, Austria",Sitio histórico,200,0,"Altes Rathaus, 21, Herzog-Friedrich-Straße, Altstadt, Innenstadt, Innsbruck, Tirol, 6020, Österreich",PASS
europa_katia.csv,Innsbruck,Altes Landhaus,"Altes Landhaus, Innsbruck, Austria",Sitio histórico,200,0,"Altes Landhaus, 43, Maria-Theresien-Straße, Innenstadt, Innsbruck, Tirol, 6020, Österreich",PASS
europa_katia.csv,Innsbruck,Spitalskirche,"Spitalskirche Innsbruck, Innsbruck, Austria",Iglesia,150,0,"Spitalskirche, 2, Maria-Theresien-Straße, Innenstadt, Innsbruck, Tirol, 6020, Österreich",PASS
europa_katia.csv,Innsbruck,Columna de Santa Ana,"Annasäule, Innsbruck, Austria",Monumento,200,0,"Annasäule, Maria-Theresien-Straße, Innenstadt, Innsbruck, Tirol, 6020, Österreich",PASS
europa_katia.csv,Innsbruck,Katzunghaus,"Katzunghaus, Innsbruck, Austria",Sitio histórico,200,0,"Katzunghaus, Seilergasse, Altstadt, Innenstadt, Innsbruck, Tirol, 6020, Österreich",PASS
europa_katia.csv,Innsbruck,Helblinghaus,"Helblinghaus, Innsbruck, Austria",Sitio histórico,200,0,"Helblinghaus, Herzog-Friedrich-Straße, Altstadt, Innenstadt, Innsbruck, Tirol, 6020, Österreich",PASS
europa_katia.csv,Innsbruck,Herzog-Friedrich-Straße,"Herzog-Friedrich-Straße, Innsbruck, Austria",Calle,400,0,"Herzog-Friedrich-Straße, Altstadt, Innenstadt, Innsbruck, Tirol, 6020, Österreich",PASS
europa_katia.csv,Innsbruck,Hall in Tirol,"Hall in Tirol, Austria",Pueblo,1500,0,"Hall in Tirol, Bezirk Innsbruck-Land, Tirol, 6060, Österreich",PASS
europa_katia.csv,Viena,Volksgarten,"Volksgarten, Wien, Austria",Jardín,400,0,"Volksgarten, Innere Stadt, Wien, Österreich",PASS
europa_katia.csv,Viena,Peterskirche,"Peterskirche, Wien, Austria",Iglesia,150,0,"Peterskirche, 6, Petersplatz, Widmerviertel, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1010, Österre",PASS
europa_katia.csv,Viena,Votivkirche,"Votivkirche, Wien, Austria",Iglesia,150,0,"Votivkirche, Rooseveltplatz, Alservorstadt, Katastralgemeinde Alsergrund, Alsergrund, Wien, 1090, Österreich",PASS
europa_katia.csv,Viena,Cripta Imperial,"Kaisergruft, Wien, Austria",Sitio histórico,200,0,"Kaisergruft, Neuer Markt, Kärntner Viertel, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1010, Österrei",PASS
europa_katia.csv,Viena,Biblioteca Nacional Austriaca (Prunksaal),"Prunksaal der Österreichischen Nationalbibliothek, Wien, Austria",Sitio histórico,200,0,"Prunksaal der Österreichischen Nationalbibliothek, Josefsplatz, Kärntner Viertel, Katastralgemeinde Innere Sta",PASS
europa_katia.csv,Viena,Ayuntamiento de Viena,"Wiener Rathaus, Wien, Austria",Sitio histórico,200,0,"Rathaus, 1, Rathausplatz, Regierungsviertel, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1010, Österre",PASS
europa_katia.csv,Viena,Parlamento Austriaco,"Parlamentsgebäude, Wien, Austria",Sitio histórico,200,0,"Parlament, 3, Dr.-Karl-Renner-Ring, Regierungsviertel, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 101",PASS
europa_katia.csv,Viena,Donaukanal,"Donaukanal, Wien, Austria",Paseo,500,0,"Donaukanal, Wien, Österreich",PASS
europa_katia.csv,Viena,Brunnenmarkt,"Brunnenmarkt, Wien, Austria",Mercado,300,0,"Brunnenmarkt, Brunnengasse, Katastralgemeinde Neulerchenfeld, Katastralgemeinde Ottakring, Ottakring, Wien, 11",PASS
europa_katia.csv,Viena,Karmelitermarkt,"Karmelitermarkt, Wien, Austria",Mercado,300,0,"Karmelitermarkt, Im Werd, Karmeliterviertel, Leopoldstadt, Katastralgemeinde Leopoldstadt, Leopoldstadt, Wien,",PASS
europa_katia.csv,Viena,Hannovermarkt,"Hannovermarkt, Wien, Austria",Mercado,300,0,"Hannovermarkt, Hannovergasse, Brigittenau, Katastralgemeinde Brigittenau, Brigittenau, Wien, 1200, Österreich",PASS
europa_katia.csv,Viena,Meiselmarkt,"Meiselmarkt, Wien, Austria",Mercado,300,0,"Meiselmarkt, 81B, Hütteldorfer Straße, Neu-Rudolfsheim, Katastralgemeinde Rudolfsheim, Rudolfsheim-Fünfhaus, W",PASS
europa_katia.csv,Viena,Vorgartenmarkt,"Vorgartenmarkt, Wien, Austria",Mercado,300,0,"Vorgartenmarkt, Stuwerviertel, Leopoldstadt, Katastralgemeinde Leopoldstadt, Leopoldstadt, Wien, Österreich",PASS
europa_katia.csv,Viena,Kutschkermarkt,"Kutschkermarkt, Wien, Austria",Mercado,300,0,"Kutschkermarkt, Schulgasse, Katastralgemeinde Währing, Währing, Wien, 1180, Österreich",PASS
europa_katia.csv,Viena,Ópera Estatal de Viena,"Wiener Staatsoper, Wien, Austria",Teatro,150,0,"Wiener Staatsoper, 2, Opernring, Kärntner Viertel, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1010, Ö",PASS
europa_katia.csv,Viena,Musikverein,"Wiener Musikverein, Wien, Austria",Teatro,150,0,"Musikverein, 1, Musikvereinsplatz, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1010, Österreich",PASS
europa_katia.csv,Viena,Wiener Konzerthaus,"Wiener Konzerthaus, Wien, Austria",Teatro,150,0,"Wiener Konzerthaus, 20, Lothringerstraße, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1030, Österreich",PASS
europa_katia.csv,Viena,Ankeruhr,"Ankeruhr, Wien, Austria",Sitio histórico,200,0,"Ankeruhr, Bauernmarkt, Stubenviertel, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1010, Österreich",PASS
europa_katia.csv,Viena,Grinzing,"Grinzing, Wien, Austria",Barrio,800,0,"Katastralgemeinde Grinzing, Döbling, Wien, 1190, Österreich",PASS
europa_katia.csv,Viena,Kärntner Straße,"Kärntner Straße, Wien, Austria",Calle,400,0,"Kärntner Straße, Kärntner Viertel, Katastralgemeinde Innere Stadt, Innere Stadt, Wien, 1010, Österreich",PASS
